Date,sigma401k Aggressive ,Aggressive Buy and Hold 
8/1/1978,0.025,0.025
9/1/1978,-0.007,-0.007
10/2/1978,-0.082,-0.082
11/1/1978,0.015,0.015
12/1/1978,0.012,0.012
1/2/1979,0.027,0.038
2/1/1979,-0.016,-0.034
3/1/1979,0.025,0.051
4/2/1979,0.001,0.001
5/1/1979,-0.021,-0.021
6/1/1979,0.037,0.037
7/2/1979,0.007,0.007
8/1/1979,0.047,0.047
9/4/1979,-0.001,-0.001
10/1/1979,-0.069,-0.069
11/1/1979,0.041,0.041
12/3/1979,0.017,0.017
1/2/1980,0.047,0.047
2/1/1980,-0.011,-0.011
3/3/1980,-0.090,-0.090
4/1/1980,0.110,0.051
5/1/1980,0.031,0.044
6/2/1980,0.022,0.026
7/1/1980,0.056,0.056
8/1/1980,0.001,0.001
9/2/1980,0.022,0.022
10/1/1980,0.012,0.012
11/3/1980,0.091,0.091
12/1/1980,-0.027,-0.027
1/2/1981,-0.043,-0.043
2/2/1981,0.009,0.009
3/2/1981,0.036,0.036
4/1/1981,-0.025,-0.025
5/1/1981,0.003,0.003
6/1/1981,-0.011,-0.011
7/1/1981,-0.006,-0.006
8/3/1981,-0.057,-0.057
9/1/1981,-0.049,-0.049
10/1/1981,0.067,0.052
11/2/1981,0.065,0.041
12/1/1981,-0.024,-0.029
1/4/1982,-0.018,-0.018
2/1/1982,-0.049,-0.049
3/1/1982,-0.009,-0.009
4/1/1982,0.026,0.038
5/3/1982,-0.003,-0.034
6/1/1982,-0.015,-0.020
7/1/1982,0.039,-0.014
8/2/1982,0.068,0.109
9/1/1982,0.061,0.015
10/1/1982,0.106,0.106
11/1/1982,0.032,0.032
12/1/1982,0.017,0.017
1/3/1983,0.028,0.028
2/1/1983,0.021,0.021
3/1/1983,0.028,0.028
4/4/1983,0.071,0.071
5/2/1983,-0.013,-0.013
6/1/1983,0.029,0.029
7/1/1983,-0.031,-0.031
8/1/1983,0.010,0.010
9/1/1983,0.013,0.013
10/3/1983,-0.014,-0.014
11/1/1983,0.017,0.017
12/1/1983,-0.008,-0.008
1/3/1984,-0.006,-0.006
